case_id,case_type,related_payment_ids,related_refund_ids,related_adjustment_ids,related_settlement_ids,related_bank_txn_ids,expected_relationship,expected_settlement_amount,actual_amount,discrepancy,reason,auto_resolvable,intentional_unresolved_exception
CASE_0020,settlement_bank_match,,,,setl_pStqCBvcrVWQDQ,bnktxn_rSyvxZG2YBATvi,settlement<->bank_transaction (exact match),1009454,1009454,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0021,timing_difference,,,,setl_8wUqJmFsrf6C6Q,bnktxn_UaVZv36NejLO93,"settlement<->bank_transaction (amount match, date differs)",435512,435512,0,Bank credited the correct amount but value date (2026-07-23) is 1 day(s) after settlement date (2026-07-22) due to bank processing delay.,True,False
CASE_0022,settlement_bank_match,,,,setl_DO3vYQgNhdTim6,bnktxn_TFMTlEsURL33dC,settlement<->bank_transaction (exact match),1683368,1683368,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0023,settlement_bank_match,,,,setl_lGaflmqj4IKmSh,bnktxn_wVpHaP49RqsWke,settlement<->bank_transaction (exact match),790513,790513,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0024,settlement_bank_match,,,,setl_deFw5UdNW0BfRW,bnktxn_WFuIVmoLkcSwAD,settlement<->bank_transaction (exact match),2839273,2839273,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0025,settlement_bank_match,,,,setl_4Du7Y28zD35DCj,bnktxn_bzEjrvmbFzkt19,settlement<->bank_transaction (exact match),1647136,1647136,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0026,settlement_bank_match,,,,setl_2JromFMUFBB82k,bnktxn_tOkvOtRNBNhMiH,settlement<->bank_transaction (exact match),1440855,1440855,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0027,settlement_bank_match,,,,setl_svUxZS3ixKEebC,bnktxn_K6oTLNp00pFKE4,settlement<->bank_transaction (exact match),3448096,3448096,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0028,settlement_bank_match,,,,setl_buG4gyWjNufHFD,bnktxn_EJjYr9uFuM4Im0,settlement<->bank_transaction (exact match),1323615,1323615,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0029,settlement_bank_match,,,,setl_ZPm97MMhsUdV4m,bnktxn_X6jCOyJkMCWug7,settlement<->bank_transaction (exact match),1111649,1111649,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0030,settlement_bank_match,,,,setl_rDrmTMDskLiu9b,bnktxn_WcPsuKWKc4GdUT,settlement<->bank_transaction (exact match),5741883,5741883,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0031,settlement_bank_match,,,,setl_TiFe7eijgHk8Tp,bnktxn_f0nCkhW63qopdP,settlement<->bank_transaction (exact match),981913,981913,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0032,settlement_bank_match,,,,setl_RJbdP1SoEccoWo,bnktxn_cnoLFawSfL4xG5,settlement<->bank_transaction (exact match),7467495,7467495,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0033,settlement_bank_match,,,,setl_1kznjIa6OVNsrJ,bnktxn_9PQGXznlhcyZgV,settlement<->bank_transaction (exact match),4844165,4844165,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0034,settlement_bank_match,,,,setl_73nmWKVVt1SRn4,bnktxn_8UyUuDzMWk6FEJ,settlement<->bank_transaction (exact match),3302784,3302784,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0035,settlement_bank_match,,,,setl_MsYQ28peNg4a2b,bnktxn_xerAPbtXc5htjq,settlement<->bank_transaction (exact match),1016046,1016046,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0036,settlement_bank_match,,,,setl_D774Z6nh6OV8RY,bnktxn_jnezRybcFB1DAl,settlement<->bank_transaction (exact match),1599935,1599935,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0037,settlement_bank_match,,,,setl_aK5cQe9X4rTsUE,bnktxn_MxD0EIkxQ5xUJI,settlement<->bank_transaction (exact match),3945949,3945949,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0038,timing_difference,,,,setl_juVOwAlLzxDwXs,bnktxn_G63OjMvIO1Vk2Z,"settlement<->bank_transaction (amount match, date differs)",5772513,5772513,0,Bank credited the correct amount but value date (2026-08-10) is 2 day(s) after settlement date (2026-08-08) due to bank processing delay.,True,False
CASE_0039,timing_difference,,,,setl_Ki0Yn0Szf0A4hG,bnktxn_oKwVASWgoOPDj1,"settlement<->bank_transaction (amount match, date differs)",1118560,1118560,0,Bank credited the correct amount but value date (2026-08-11) is 2 day(s) after settlement date (2026-08-09) due to bank processing delay.,True,False
CASE_0040,settlement_bank_match,,,,setl_S5WmTa5YGZgFj6,bnktxn_ReeqC8hB8wQzaS,settlement<->bank_transaction (exact match),3073118,3073118,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0041,timing_difference,,,,setl_MtvyxntBNL6EON,bnktxn_byc9FW5fEqIffp,"settlement<->bank_transaction (amount match, date differs)",605033,605033,0,Bank credited the correct amount but value date (2026-08-13) is 2 day(s) after settlement date (2026-08-11) due to bank processing delay.,True,False
CASE_0042,settlement_bank_match,,,,setl_U1TO7gDyVvpMEc,bnktxn_rSKyZ7IPUdqLhS,settlement<->bank_transaction (exact match),2788331,2788331,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0043,timing_difference,,,,setl_HFl5Cs2kcsMvBh,bnktxn_oTCZS86hgkiiV8,"settlement<->bank_transaction (amount match, date differs)",4594876,4594876,0,Bank credited the correct amount but value date (2026-08-15) is 2 day(s) after settlement date (2026-08-13) due to bank processing delay.,True,False
CASE_0044,settlement_bank_match,,,,setl_MKbCFxYSBbTH5S,bnktxn_6p674ihbkfKlQm,settlement<->bank_transaction (exact match),1882939,1882939,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0045,settlement_bank_match,,,,setl_CQIxJqEeYQlLAh,bnktxn_at4Ziu6p3EZnmQ,settlement<->bank_transaction (exact match),1026745,1026745,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0046,settlement_bank_match,,,,setl_EEEnglyJOOI2Ze,bnktxn_Bc3uXzbmQU7xzC,settlement<->bank_transaction (exact match),823307,823307,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0047,settlement_bank_match,,,,setl_M13oV6iEN8YG4A,bnktxn_cxrzrDPZ6vt1IM,settlement<->bank_transaction (exact match),1573551,1573551,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0048,settlement_bank_match,,,,setl_u6t28EGFyW31SL,bnktxn_7r3sMGou75u6pK,settlement<->bank_transaction (exact match),4486364,4486364,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0049,settlement_bank_match,,,,setl_mwtm0vHRArqMBQ,bnktxn_4sOpnMYO1vl4PZ,settlement<->bank_transaction (exact match),9295048,9295048,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0050,settlement_bank_match,,,,setl_FxpzETr7KDIvjq,bnktxn_AmrdBOFMgEByuh,settlement<->bank_transaction (exact match),1163236,1163236,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0051,settlement_bank_match,,,,setl_ilhxWZdc2ergJI,bnktxn_NMKWr7Jw1pjbJL,settlement<->bank_transaction (exact match),3092001,3092001,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0052,settlement_bank_match,,,,setl_uWokZ90ynINb9k,bnktxn_apQtBL3M2yCnog,settlement<->bank_transaction (exact match),1400130,1400130,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0053,settlement_bank_match,,,,setl_2fATCCjV4y2NWy,bnktxn_jTeM1SRykYznnu,settlement<->bank_transaction (exact match),4562242,4562242,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0054,settlement_bank_match,,,,setl_wzrpTs5oyM4E9b,bnktxn_qworx6qEkko2LP,settlement<->bank_transaction (exact match),3396513,3396513,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0055,settlement_bank_match,,,,setl_HMHZm2cyxdWofT,bnktxn_tkHeo3fNdKPYY3,settlement<->bank_transaction (exact match),1595818,1595818,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0056,payment_fully_refunded_pre_settlement,pay_bVM4YPyJG3m26k,rfnd_5lqvZ3FXJDQgQ2,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0057,payment_fully_refunded_pre_settlement,pay_4qwRkl035GcZev,rfnd_YxBPb9IigoD1hh,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0058,payment_fully_refunded_pre_settlement,pay_Xh2H3x9exT8QzL,rfnd_3wtCBJ8f93Glz0,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0059,payment_fully_refunded_pre_settlement,pay_NPdVYpS0Jaj2gs,rfnd_RoXbmUVwHMXjK3,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0060,payment_fully_refunded_pre_settlement,pay_fPQBGxbxtl8nv8,rfnd_IxIoS8HkxkgRkO,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0061,payment_fully_refunded_pre_settlement,pay_JAfo16hD8hP1jF,rfnd_7WTjI89NB2mrd9,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0062,payment_fully_refunded_pre_settlement,pay_Fi0TVUAgqNmmh7,rfnd_HA5EDuiU8taeqT,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0063,payment_fully_refunded_pre_settlement,pay_fVmU16e55iHtdn,rfnd_7UNM9edWAijE0k,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0064,payment_fully_refunded_pre_settlement,pay_fPBi3DldqyunDu,rfnd_kPAzLmp1weo98r,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0065,payment_fully_refunded_pre_settlement,pay_MSv2LK9vNtAvkg,rfnd_VL8RjnCjRrWuaO,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0066,payment_fully_refunded_pre_settlement,pay_pYlDGPhZM1v366,rfnd_gXOMEoQCt0hIVN,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0067,payment_fully_refunded_pre_settlement,pay_bF1crrLyt09fdr,rfnd_W6Uv4r8cy15qhO,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0068,payment_partially_refunded_pre_settlement,pay_TKtE0bxvRhALtY,rfnd_4TS3YFWsoHgfUM,,setl_JENytFYXsXRSdH,,payment<->refund<->settlement (settlement net reduced by refund),220947,220947,0,Payment amount 811868 was partially refunded (590921) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 220947. Fee/tax are not reversed.,True,False
CASE_0069,payment_partially_refunded_pre_settlement,pay_78CZD91WhgYNNY,rfnd_QF1S9BAdOg3Xr1,,setl_1kznjIa6OVNsrJ,,payment<->refund<->settlement (settlement net reduced by refund),356451,356451,0,Payment amount 942563 was partially refunded (563868) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 356451. Fee/tax are not reversed.,True,False
CASE_0070,payment_partially_refunded_pre_settlement,pay_q3IpvrRJGtOChW,rfnd_vAQ1qwfagTZFpL,,setl_HMHZm2cyxdWofT,,payment<->refund<->settlement (settlement net reduced by refund),20607,20607,0,Payment amount 39045 was partially refunded (18438) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 20607. Fee/tax are not reversed.,True,False
CASE_0071,payment_partially_refunded_pre_settlement,pay_RWmlN2O5z0BGuf,rfnd_gX0TFJM1KyMH37,,setl_RSc6ngD8l5oTue,,payment<->refund<->settlement (settlement net reduced by refund),981020,981020,0,Payment amount 2266452 was partially refunded (1285432) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 981020. Fee/tax are not reversed.,True,False
CASE_0072,payment_fully_refunded_pre_settlement,pay_ve79LWyfaAO6rA,rfnd_1YP9gKgh9WpxLR,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0073,payment_partially_refunded_pre_settlement,pay_gBo1evMXN9MzXu,rfnd_zTVcwPYC2DK3Hc,,setl_k8Vq9RT7SzsIss,,payment<->refund<->settlement (settlement net reduced by refund),36050,36050,0,Payment amount 127431 was partially refunded (91381) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 36050. Fee/tax are not reversed.,True,False
CASE_0074,payment_partially_refunded_pre_settlement,pay_OUzpchpzFtSM9l,rfnd_BQ6bnKlbO8vgs6,,setl_Ki0Yn0Szf0A4hG,,payment<->refund<->settlement (settlement net reduced by refund),91630,91630,0,Payment amount 166685 was partially refunded (71121) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 91630. Fee/tax are not reversed.,True,False
CASE_0075,payment_partially_refunded_pre_settlement,pay_9BkaupYoTVPBr1,rfnd_5qw0Rww9prCYdu,,setl_tgZJk54jkAhI6N,,payment<->refund<->settlement (settlement net reduced by refund),37488,37488,0,Payment amount 71488 was partially refunded (32313) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 37488. Fee/tax are not reversed.,True,False
CASE_0076,payment_partially_refunded_pre_settlement,pay_V4viruPYWcHYAP,rfnd_knJX3JPuVzWwX0,,setl_aK5cQe9X4rTsUE,,payment<->refund<->settlement (settlement net reduced by refund),2978701,2978701,0,Payment amount 4361532 was partially refunded (1285046) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 2978701. Fee/tax are not reversed.,True,False
CASE_0077,payment_fully_refunded_pre_settlement,pay_uyqfhgIksjlqXf,rfnd_NIVZ19ou1tg6Uf,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0078,payment_fully_refunded_pre_settlement,pay_mXgWontGtuXHEg,rfnd_FOlWymq2TFwvZC,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0079,payment_partially_refunded_pre_settlement,pay_yBnGoAhWuhDhHi,rfnd_9kubhmLt6GSPJs,,setl_ZPm97MMhsUdV4m,,payment<->refund<->settlement (settlement net reduced by refund),353236,353236,0,Payment amount 920420 was partially refunded (567184) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 353236. Fee/tax are not reversed.,True,False
CASE_0080,payment_fully_refunded_pre_settlement,pay_yTYOjVyuxgfa8t,rfnd_SemffTM64Qz2qj,,,,payment<->refund (payment excluded from settlement),0,0,0,"Payment was fully refunded before the settlement cutoff, so it was correctly excluded from settlement amount entirely (net contribution 0).",True,False
CASE_0081,payment_partially_refunded_pre_settlement,pay_AHtSOoovBEdGBP,rfnd_zi6yg29V044ZsN,,setl_MtvyxntBNL6EON,,payment<->refund<->settlement (settlement net reduced by refund),14384,14384,0,Payment amount 31078 was partially refunded (15960) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 14384. Fee/tax are not reversed.,True,False
CASE_0082,payment_partially_refunded_pre_settlement,pay_CFVwIqQFqxDa0w,rfnd_C0cpJjQrbFo1So,,setl_EEEnglyJOOI2Ze,,payment<->refund<->settlement (settlement net reduced by refund),35558,35558,0,Payment amount 55433 was partially refunded (18566) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 35558. Fee/tax are not reversed.,True,False
CASE_0083,payment_partially_refunded_pre_settlement,pay_76qtf70Wptn34k,rfnd_njasp9b2NE1CAJ,,setl_rDrmTMDskLiu9b,,payment<->refund<->settlement (settlement net reduced by refund),1411784,1411784,0,Payment amount 2975900 was partially refunded (1497396) before the settlement cutoff. Settlement correctly includes only net_amount - refund_amount = 1411784. Fee/tax are not reversed.,True,False
CASE_0084,duplicate_looking_payment_pair,pay_mgcKP1yQFHNSLq;pay_eMx1thM5Ayytxb,,,setl_mWbnBXOWjC3LYW,bnktxn_4nDiA9dp8j5O7g,"payment<->payment (retry, not a true duplicate)",64435,64435,0,order_id order_dxoMTea76nPF74 has two payment records with the same amount (65912) minutes apart: one FAILED attempt (pay_mgcKP1yQFHNSLq) and one CAPTURED retry (pay_eMx1thM5Ayytxb). Only the captured retry should be counted as revenue and settled; the failed one contributes nothing.,True,False
CASE_0085,duplicate_looking_payment_pair,pay_tKACf2OGnY9jxI;pay_sxdwD6y4P3BeMs,,,setl_JEc732Eewvmt7G,bnktxn_vZNDwNusxdZHLh,"payment<->payment (retry, not a true duplicate)",91939,91939,0,order_id order_kYpI8B96JCca0D has two payment records with the same amount (93878) minutes apart: one FAILED attempt (pay_tKACf2OGnY9jxI) and one CAPTURED retry (pay_sxdwD6y4P3BeMs). Only the captured retry should be counted as revenue and settled; the failed one contributes nothing.,True,False
CASE_0086,duplicate_looking_payment_pair,pay_1iGw8dBFykxhv6;pay_4CWFBWGcQXJUVK,,,setl_70yvQTCUUOrjjW,bnktxn_mAZ04jBJKq6nae,"payment<->payment (retry, not a true duplicate)",149569,149569,0,order_id order_Rp1I2X2hstEsqn has two payment records with the same amount (153185) minutes apart: one FAILED attempt (pay_1iGw8dBFykxhv6) and one CAPTURED retry (pay_4CWFBWGcQXJUVK). Only the captured retry should be counted as revenue and settled; the failed one contributes nothing.,True,False
CASE_0087,duplicate_looking_payment_pair,pay_wMIGnSgQ0cpcmj;pay_k2cqUEYeoD6k7R,,,setl_fQDZ5vNUx2E99q,bnktxn_Erv8GtFUzd8LtZ,"payment<->payment (retry, not a true duplicate)",26709,26709,0,order_id order_t21n9iMJnLwriU has two payment records with the same amount (26709) minutes apart: one FAILED attempt (pay_wMIGnSgQ0cpcmj) and one CAPTURED retry (pay_k2cqUEYeoD6k7R). Only the captured retry should be counted as revenue and settled; the failed one contributes nothing.,True,False
CASE_0088,duplicate_looking_payment_pair,pay_fb2nkyXzsPW9Pj;pay_3qg0jJo2Yo49pD,,,setl_SIGxAVzAKvtfpk,bnktxn_tpF4F79zLnzB2p,"payment<->payment (retry, not a true duplicate)",737555,737555,0,order_id order_htFZBVZ6t5RMiw has two payment records with the same amount (737555) minutes apart: one FAILED attempt (pay_fb2nkyXzsPW9Pj) and one CAPTURED retry (pay_3qg0jJo2Yo49pD). Only the captured retry should be counted as revenue and settled; the failed one contributes nothing.,True,False
CASE_0089,duplicate_looking_payment_pair,pay_UBfBM0lIsugfuQ;pay_spNZkvkMuLy2fg,,,setl_YVajIBF5f7YZSP,bnktxn_vgcLfcNa07mYk5,"payment<->payment (retry, not a true duplicate)",160340,160340,0,order_id order_stCMTBkSCwCcU3 has two payment records with the same amount (164017) minutes apart: one FAILED attempt (pay_UBfBM0lIsugfuQ) and one CAPTURED retry (pay_spNZkvkMuLy2fg). Only the captured retry should be counted as revenue and settled; the failed one contributes nothing.,True,False
CASE_0090,partial_match_unexplained_tds,pay_vgdNDMkewOJ4ow;pay_hcL964P0mmTC7g;pay_KNQyvbF2ulFnwZ,,,setl_z0FgrLsN1He1Ns,bnktxn_SEZCw8GtsPT0zA,settlement<->bank_transaction (partial match),421158,412735,-8423,"Bank credited 412735 against an expected settlement of 421158 (shortfall of 8423). Pattern matches a TDS deduction, but no corresponding entry exists in adjustments.csv, so it cannot be auto-explained from system records.",False,True
CASE_0091,duplicate_bank_credit,pay_gGzYFckstboOXS;pay_GDQWJl4bOTH3lK,,,setl_Z7pY2tQunpDjTj,bnktxn_TEBAh7PQ8QJULt;bnktxn_0FDQ9zYT3uCi0u,"settlement<->bank_transaction (duplicate credit, excess funds)",790315,1580630,790315,Two bank credits of identical amount (790315) and the same value date were recorded for settlement setl_Z7pY2tQunpDjTj (UTRs HDFC10912172214559 and PUNB37052635100462). Only one represents the genuine settlement; the second is an excess/duplicate credit requiring manual verification and possible reversal with the bank.,False,True
CASE_0092,missing_bank_transaction,pay_v17Kc03bfc8PXK;pay_UZJW6l8R5vPfow,,,setl_V9TBQu96WK3Sla,,settlement<->bank_transaction (no match found),73154,0,-73154,Settlement setl_V9TBQu96WK3Sla (UTR ICIC46175202389743) is marked 'processed' for amount 73154 but no bank_transactions.csv row carries a matching UTR or amount/date. Likely a bank-side delay or a lost transaction record.,False,True
CASE_0093,incorrect_amount_unresolved,pay_eRo7qYYOLQZ7mB;pay_KRFQJRIKEEJ2kG,,,setl_AcXaOxTvZNxvag,bnktxn_D9ULJsIWDcsvbA,settlement<->bank_transaction (amount mismatch),536643,536292,-351,"Bank credited 536292 against expected 536643 (difference -351). No refund, fee, adjustment, or chargeback record explains this gap — genuinely unresolved and requires manual investigation with the bank.",False,True
CASE_0094,failed_settlement,pay_asAyXfU5J5pKHk;pay_ftYXjZwDzkDaQj,,,setl_LO9YeE14A7D64M,,"settlement (failed, no bank transaction expected)",0,0,0,"Settlement setl_LO9YeE14A7D64M for amount 709624 has status 'failed' (beneficiary bank account validation error). No bank credit is expected until it is retried, so zero-vs-zero is the CORRECT state, not a discrepancy.",True,False
CASE_0095,settlement_bank_match,pay_zVNYfwB8787EQ2;pay_6qaXts0wYz8z0L;pay_Q26Qx3gbs34Pyo,,,setl_oco80CpzaBd9eZ,bnktxn_2p7yJUvlIPmaRB,settlement<->bank_transaction (exact match),467761,467761,0,Original settlement matches bank credit exactly; the refund below happens after this settlement.,True,False
CASE_0096,post_settlement_refund_adjustment,pay_KMIHP4TYcHgCD0;pay_Dqo1rKdjWSQgfQ;pay_zVNYfwB8787EQ2,rfnd_fvPp8Ebgi7VUqk,adj_hGX1XIDGhEQNrY,setl_QsQqAk5BnUkxgW,bnktxn_fwYfwlyZmI8qUb,payment<->refund<->adjustment<->settlement (refund deducted in a later cycle),-24413,-24413,0,"Payment pay_zVNYfwB8787EQ2 was refunded (rfnd_fvPp8Ebgi7VUqk) three days after its original settlement setl_oco80CpzaBd9eZ had already paid out in full. The refund amount (233287) was instead deducted as adjustment adj_hGX1XIDGhEQNrY from the NEXT settlement (setl_QsQqAk5BnUkxgW), which matches the bank credit exactly once the adjustment is accounted for.",True,False
